catalog,url,owner,repo,ref,path
additional-repositories.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail,dietrichgebert,ponytail,main,skills/ponytail
additional-repositories.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-audit,dietrichgebert,ponytail,main,skills/ponytail-audit
additional-repositories.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-debt,dietrichgebert,ponytail,main,skills/ponytail-debt
additional-repositories.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-gain,dietrichgebert,ponytail,main,skills/ponytail-gain
additional-repositories.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-help,dietrichgebert,ponytail,main,skills/ponytail-help
additional-repositories.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-review,dietrichgebert,ponytail,main,skills/ponytail-review
additional-repositories.md,https://github.com/microsoft/data-formulator/tree/main/.cursor/skills/error-handling,microsoft,data-formulator,main,.cursor/skills/error-handling
additional-repositories.md,https://github.com/microsoft/data-formulator/tree/main/.cursor/skills/language-injection,microsoft,data-formulator,main,.cursor/skills/language-injection
additional-repositories.md,https://github.com/microsoft/data-formulator/tree/main/.cursor/skills/path-safety,microsoft,data-formulator,main,.cursor/skills/path-safety
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/code-simplifier,rtk-ai,rtk,develop,.claude/skills/code-simplifier
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/design-patterns,rtk-ai,rtk,develop,.claude/skills/design-patterns
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/issue-triage,rtk-ai,rtk,develop,.claude/skills/issue-triage
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/performance,rtk-ai,rtk,develop,.claude/skills/performance
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/pr-review,rtk-ai,rtk,develop,.claude/skills/pr-review
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/pr-triage,rtk-ai,rtk,develop,.claude/skills/pr-triage
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/repo-recap,rtk-ai,rtk,develop,.claude/skills/repo-recap
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/rtk-tdd,rtk-ai,rtk,develop,.claude/skills/rtk-tdd
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/rtk-triage,rtk-ai,rtk,develop,.claude/skills/rtk-triage
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/security-guardian,rtk-ai,rtk,develop,.claude/skills/security-guardian
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/ship,rtk-ai,rtk,develop,.claude/skills/ship
additional-repositories.md,https://github.com/rtk-ai/rtk/tree/develop/.claude/skills/tdd-rust,rtk-ai,rtk,develop,.claude/skills/tdd-rust
ai-behavior-fix-skills.md,https://github.com/GeoffreyWang1117/bibguard,GeoffreyWang1117,bibguard,,
ai-behavior-fix-skills.md,https://github.com/Imbad0202/academic-research-skills,Imbad0202,academic-research-skills,,
ai-behavior-fix-skills.md,https://github.com/K-Dense-AI/scientific-agent-skills/tree/main/skills/consciousness-council,K-Dense-AI,scientific-agent-skills,main,skills/consciousness-council
ai-behavior-fix-skills.md,https://github.com/Mercer8964/source-check-skill,Mercer8964,source-check-skill,,
ai-behavior-fix-skills.md,https://github.com/athola/claude-night-market/tree/master/plugins/attune/skills/war-room,athola,claude-night-market,master,plugins/attune/skills/war-room
ai-behavior-fix-skills.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/dependency-verification,athola,claude-night-market,master,plugins/imbue/skills/dependency-verification
ai-behavior-fix-skills.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/justify,athola,claude-night-market,master,plugins/imbue/skills/justify
ai-behavior-fix-skills.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/proof-of-work,athola,claude-night-market,master,plugins/imbue/skills/proof-of-work
ai-behavior-fix-skills.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/rigorous-reasoning,athola,claude-night-market,master,plugins/imbue/skills/rigorous-reasoning
