name,owner,repository,commit,source_path,local_skill_file,source_url,catalogs,description
docx,anthropics,skills,34040c9c568585f6929bedeaad110ad08f079624,skills/docx,sources/anthropics/skills/skills/docx/SKILL.md,https://github.com/anthropics/skills/tree/main/skills/docx,materials-science-python-skills-direct.md,"Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx files) or Word templates (.dotx files). Triggers include: any mention of 'Word doc', 'word document', '.docx', '.dotx', or requests to produce professional documents with formatting like tables of contents, headings, page numbers, or letterheads. Also use when extracting or reorganizing content from .docx or .dotx files, inserting or replacing images in documents, performing find-and-replace in Word files, working with tracked changes or comments, or converting content into a polished Word document. If the user asks for a 'report', 'memo', 'letter', 'template', or similar deliverable as a Word or .docx file, use this skill. Do NOT use for PDFs, spreadsheets, Google Docs, or general coding tasks unrelated to document generation."
mcp-builder,anthropics,skills,34040c9c568585f6929bedeaad110ad08f079624,skills/mcp-builder,sources/anthropics/skills/skills/mcp-builder/SKILL.md,https://github.com/anthropics/skills/tree/main/skills/mcp-builder,materials-science-python-skills-direct.md,"Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools. Use when building MCP servers to integrate external APIs or services, whether in Python (FastMCP) or Node/TypeScript (MCP SDK)."
pdf,anthropics,skills,34040c9c568585f6929bedeaad110ad08f079624,skills/pdf,sources/anthropics/skills/skills/pdf/SKILL.md,https://github.com/anthropics/skills/tree/main/skills/pdf,materials-science-python-skills-direct.md,"Use this skill whenever the user wants to do anything with PDF files. This includes reading or extracting text/tables from PDFs, combining or merging multiple PDFs into one, splitting PDFs apart, rotating pages, adding watermarks, creating new PDFs, filling PDF forms, encrypting/decrypting PDFs, extracting images, and OCR on scanned PDFs to make them searchable. If the user mentions a .pdf file or asks to produce one, use this skill."
pptx,anthropics,skills,34040c9c568585f6929bedeaad110ad08f079624,skills/pptx,sources/anthropics/skills/skills/pptx/SKILL.md,https://github.com/anthropics/skills/tree/main/skills/pptx,materials-science-python-skills-direct.md,"Use this skill any time a .pptx or .potx file is involved in any way — as input, output, or both. This includes: creating slide decks, pitch decks, or presentations; reading, parsing, or extracting text from any .pptx or .potx file (even if the extracted content will be used elsewhere, like in an email or summary); editing, modifying, or updating existing presentations; combining or splitting slide files; working with templates (.potx), layouts, speaker notes, or comments. Trigger whenever the user mentions \""deck,\"" \""slides,\"" \""presentation,\"" or references a .pptx or .potx filename, regardless of what they plan to do with the content afterward. If a .pptx or .potx file needs to be opened, created, or touched, use this skill."
skill-creator,anthropics,skills,34040c9c568585f6929bedeaad110ad08f079624,skills/skill-creator,sources/anthropics/skills/skills/skill-creator/SKILL.md,https://github.com/anthropics/skills/tree/main/skills/skill-creator,materials-science-python-skills-direct.md,"Create new skills, modify and improve existing skills, and measure skill performance. Use when users want to create a skill from scratch, edit, or optimize an existing skill, run evals to test a skill, benchmark skill performance with variance analysis, or optimize a skill's description for better triggering accuracy."
xlsx,anthropics,skills,34040c9c568585f6929bedeaad110ad08f079624,skills/xlsx,sources/anthropics/skills/skills/xlsx/SKILL.md,https://github.com/anthropics/skills/tree/main/skills/xlsx,materials-science-python-skills-direct.md,"Use this skill any time a spreadsheet file is the primary input or output. This means any task where the user wants to: open, read, edit, or fix an existing .xlsx, .xlsm, .xltx, .csv, or .tsv file (e.g., adding columns, computing formulas, formatting, charting, cleaning messy data); create a new spreadsheet from scratch or from other data sources; or convert between tabular file formats. Trigger especially when the user references a spreadsheet file by name or path — even casually (like \""the xlsx in my downloads\"") — and wants something done to it or produced from it. Also trigger for cleaning or restructuring messy tabular data files (malformed rows, misplaced headers, junk data) into proper spreadsheets. The deliverable must be a spreadsheet file. Do NOT trigger when the primary deliverable is a Word document, HTML report, standalone Python script, database pipeline, or Google Sheets API integration, even if tabular data is involved."
war-room,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/attune/skills/war-room,sources/athola/claude-night-market/plugins/attune/skills/war-room/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/attune/skills/war-room,ai-behavior-fix-skills.md,Convenes a multi-LLM expert panel to pressure-test hard-to-reverse decisions. Use when reversibility score is low and adversarial review is warranted.
dependency-verification,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/imbue/skills/dependency-verification,sources/athola/claude-night-market/plugins/imbue/skills/dependency-verification/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/dependency-verification,ai-behavior-fix-skills.md,"Verifies a package exists before install, defending against hallucination and slopsquatting. Use when adding, recommending, or installing a package."
justify,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/imbue/skills/justify,sources/athola/claude-night-market/plugins/imbue/skills/justify/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/justify,ai-behavior-fix-skills.md,Audits changes for additive bias and Iron Law compliance. Use when reviewing completed work before merging or after AI-assisted implementation.
proof-of-work,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/imbue/skills/proof-of-work,sources/athola/claude-night-market/plugins/imbue/skills/proof-of-work/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/proof-of-work,ai-behavior-fix-skills.md,"Enforces validation and evidence before claiming work complete. Use before declaring implementation done, creating a PR, or submitting deliverables for review."
rigorous-reasoning,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/imbue/skills/rigorous-reasoning,sources/athola/claude-night-market/plugins/imbue/skills/rigorous-reasoning/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/rigorous-reasoning,ai-behavior-fix-skills.md,Applies anti-sycophancy checklist to override agreement bias. Use when analyzing contested claims or avoiding socially convenient but inaccurate conclusions.
scope-guard,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/imbue/skills/scope-guard,sources/athola/claude-night-market/plugins/imbue/skills/scope-guard/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/scope-guard,ai-behavior-fix-skills.md,Scores feature worthiness and enforces branch-size limits against overengineering. Use when evaluating whether a feature belongs in the current scope or branch.
vow-enforcement,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/imbue/skills/vow-enforcement,sources/athola/claude-night-market/plugins/imbue/skills/vow-enforcement/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/imbue/skills/vow-enforcement,ai-behavior-fix-skills.md,"Classifies and enforces constraints via soft vows, hard vows, and Nen Court layers. Use when designing or auditing enforcement mechanisms for project rules."
additive-bias-defense,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/leyline/skills/additive-bias-defense,sources/athola/claude-night-market/plugins/leyline/skills/additive-bias-defense/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/leyline/skills/additive-bias-defense,ai-behavior-fix-skills.md,"Inverts burden of proof for code additions. Use when reviewing PRs, planning refactors, or running unbloat to challenge every addition's necessity."
content-sanitization,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/leyline/skills/content-sanitization,sources/athola/claude-night-market/plugins/leyline/skills/content-sanitization/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/leyline/skills/content-sanitization,ai-behavior-fix-skills.md,"Provides sanitization guidelines for external content in skills and hooks. Use when loading GitHub Issues, PRs, WebFetch results, or any untrusted input."
risk-classification,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/leyline/skills/risk-classification,sources/athola/claude-night-market/plugins/leyline/skills/risk-classification/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/leyline/skills/risk-classification,ai-behavior-fix-skills.md,Classifies agent tasks into 4 risk tiers (GREEN/YELLOW/RED/CRITICAL). Use when assessing action reversibility before committing to an approach.
slop-detector,athola,claude-night-market,904583125527ac9ac25c0604db68d3d19b836a8d,plugins/scribe/skills/slop-detector,sources/athola/claude-night-market/plugins/scribe/skills/slop-detector/SKILL.md,https://github.com/athola/claude-night-market/tree/master/plugins/scribe/skills/slop-detector,ai-behavior-fix-skills.md,"Detects AI-generated writing patterns in prose. Use when reviewing docs for slop, vague language, or identity leaks before publishing."
docker-workflow,AutumnsGrove,ClaudeSkills,cf6f6fb91cfc0c9594942cd629c2217605e47ef5,docker-workflow,sources/AutumnsGrove/ClaudeSkills/docker-workflow/SKILL.md,https://github.com/AutumnsGrove/ClaudeSkills/tree/master/docker-workflow,materials-science-python-skills-direct.md,"Comprehensive Docker containerization workflow covering multi-stage builds, docker-compose orchestration, image optimization, debugging, and production best practices. Use when containerizing applications, setting up development environments, or deploying with Docker."
env-config,AutumnsGrove,ClaudeSkills,cf6f6fb91cfc0c9594942cd629c2217605e47ef5,env-config,sources/AutumnsGrove/ClaudeSkills/env-config/SKILL.md,https://github.com/AutumnsGrove/ClaudeSkills/tree/master/env-config,materials-science-python-skills-direct.md,"Environment configuration and secrets management skill using UV for Python projects. Handles .env files, environment variables, secrets encryption, multi-environment setups, and secure configuration patterns. Use when setting up project environments, managing API keys, or implementing configuration best practices."
git-advanced,AutumnsGrove,ClaudeSkills,cf6f6fb91cfc0c9594942cd629c2217605e47ef5,git-advanced,sources/AutumnsGrove/ClaudeSkills/git-advanced/SKILL.md,https://github.com/AutumnsGrove/ClaudeSkills/tree/master/git-advanced,materials-science-python-skills-direct.md,"Advanced Git operations and workflows including interactive rebasing, conflict resolution, history manipulation, bisecting for bugs, cherry-picking, reflog recovery, and branch management strategies. Use for: (1) Interactive rebasing and commit cleanup, (2) Complex merge conflict resolution, (3) Git bisect for bug hunting, (4) History rewriting and cleanup, (5) Branch strategy implementation (Git Flow, trunk-based), (6) Recovering lost commits with reflog"
sql-expert,AutumnsGrove,ClaudeSkills,cf6f6fb91cfc0c9594942cd629c2217605e47ef5,sql-expert,sources/AutumnsGrove/ClaudeSkills/sql-expert/SKILL.md,https://github.com/AutumnsGrove/ClaudeSkills/tree/master/sql-expert,materials-science-python-skills-direct.md,"Expert SQL query writing, optimization, and database schema design with support for PostgreSQL, MySQL, SQLite, and SQL Server. Use when working with databases for: (1) Writing complex SQL queries with joins, subqueries, and window functions, (2) Optimizing slow queries and analyzing execution plans, (3) Designing database schemas with proper normalization, (4) Creating indexes and improving query performance, (5) Writing migrations and handling schema changes, (6) Debugging SQL errors and query issues"
scientific-coding,cemde,scientific-coding-skill,6e6c2762451c4bfac31d5fcb94cf83193dd13d46,skills/scientific-coding,sources/cemde/scientific-coding-skill/skills/scientific-coding/SKILL.md,https://github.com/cemde/scientific-coding-skill/tree/main/skills/scientific-coding,ai-behavior-fix-skills.md,"Rules for writing scientific and research code. Activates when writing code for data analysis, simulations, numerical methods, statistical analysis, or any computation whose results feed into scientific conclusions."
ponytail-audit,dietrichgebert,ponytail,e3ba2aa6f1e6f0bc4d69eb09c9f0d0a93af56156,skills/ponytail-audit,sources/dietrichgebert/ponytail/skills/ponytail-audit/SKILL.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-audit,additional-repositories.md,>
ponytail-debt,dietrichgebert,ponytail,e3ba2aa6f1e6f0bc4d69eb09c9f0d0a93af56156,skills/ponytail-debt,sources/dietrichgebert/ponytail/skills/ponytail-debt/SKILL.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-debt,additional-repositories.md,>
